ground truth; time
1; 503
1; 501
0; 378
1; 495
0; 488
0; 484
1; 391
1; 510
1; 497
0; 490
1; 424
0; 488
1; 492
1; 380
0; 401
0; 426
0; 492
1; 493
1; 499
1; 496
0; 417
0; 482
1; 495
0; 486
1; 478
0; 494
1; 499
0; 494
1; 503
1; 377
0; 482
1; 406
0; 496
1; 428
1; 366
1; 483
0; 478
0; 482
1; 492
0; 425
1; 492
0; 483
0; 482
0; 487
1; 357
1; 358
0; 352
1; 358
0; 351
0; 352
0; 352
0; 352
0; 353
0; 365
0; 365
0; 354
0; 353
1; 359
0; 355
0; 354
1; 360
1; 359
0; 354
1; 360
0; 354
0; 354
0; 354
0; 353
0; 355
0; 353
0; 354
0; 353
0; 355
0; 354
0; 352
0; 356
0; 354
0; 355
0; 353
0; 356
0; 353
0; 356
0; 353
0; 352
0; 354
0; 356
0; 353
0; 355
0; 354
0; 353
0; 354
0; 353
0; 353
0; 354
0; 353
0; 353
0; 353
0; 352
0; 353
0; 354
0; 355
0; 355
0; 354
0; 353
0; 352
0; 355
0; 352
0; 353
0; 354
0; 355
0; 354
0; 355
0; 354
0; 355
0; 355
0; 355
0; 352
0; 356
0; 352
0; 352
0; 353
0; 354
0; 352
0; 353
0; 353
0; 353
0; 353
0; 354
0; 352
0; 352
0; 352
0; 351
0; 354
0; 352
0; 352
0; 352
0; 352
0; 352
0; 353
0; 352
0; 353
0; 351
0; 352
0; 352
0; 352
0; 354
0; 354
0; 355
0; 355
0; 353
0; 355
0; 354
0; 354
0; 354
0; 354
0; 354
0; 354
0; 353
0; 354
0; 353
0; 351
0; 355
0; 353
0; 355
0; 355
0; 353
0; 355
0; 353
0; 355
0; 352
0; 354
0; 353
0; 351
0; 353
0; 351
0; 349
0; 350
0; 348
1; 355
1; 353
1; 354
1; 354
1; 355
1; 355
1; 355
1; 360
0; 354
0; 353
0; 363
1; 375
1; 376
1; 371
1; 370
1; 374
1; 360
0; 352
1; 358
1; 358
0; 355
1; 360
1; 360
1; 360
1; 358
1; 359
0; 355
1; 359
1; 358
1; 360
1; 368
1; 371
1; 370
0; 355
1; 371
1; 361
0; 354
1; 376
1; 359
1; 358
1; 359
1; 369
0; 357
1; 357
1; 357
1; 357
1; 357
1; 358
1; 357
1; 358
1; 357
1; 359
0; 353
1; 361
0; 353
1; 360
1; 358
1; 369
1; 360
0; 353
1; 360
1; 360
1; 360
1; 358
1; 360
1; 360
1; 361
1; 358
1; 359
1; 357
0; 356
1; 358
1; 357
1; 357
1; 372
0; 351
1; 357
1; 357
1; 359
0; 353
1; 360
0; 356
1; 358
1; 359
0; 354
0; 353
0; 353
1; 358
0; 352
1; 358
0; 352
0; 353
1; 357
1; 358
0; 352
0; 352
1; 368
0; 355
1; 360
1; 372
0; 353
1; 360
0; 352
1; 357
0; 352
1; 359
0; 353
0; 355
1; 359
0; 352
1; 359
0; 354
0; 353
0; 355
1; 360
1; 360
0; 353
1; 359
0; 355
1; 359
0; 354
1; 359
0; 353
0; 352
1; 355
0; 351
1; 355
2; 358
1; 359
1; 359
1; 360
1; 358
1; 358
1; 361
1; 360
0; 358
1; 369
1; 361
0; 353
0; 355
1; 359
0; 353
1; 357
1; 360
1; 359
1; 359
1; 358
1; 360
1; 371
1; 360
1; 357
1; 358
1; 358
1; 357
1; 359
1; 360
1; 359
1; 360
1; 359
0; 355
1; 360
1; 360
1; 359
0; 353
1; 358
0; 355
1; 359
1; 358
0; 352
1; 358
0; 354
1; 359
0; 352
1; 358
0; 353
0; 353
1; 357
0; 353
1; 356
1; 358
0; 352
0; 351
1; 358
1; 369
0; 352
1; 369
0; 355
1; 368
1; 371
1; 360
0; 353
0; 352
1; 358
0; 353
1; 358
1; 357
0; 352
0; 352
1; 358
1; 356
0; 353
1; 359
0; 354
1; 359
1; 358
1; 358
0; 352
0; 352
1; 358
0; 356
1; 359
1; 360
0; 351
1; 358
0; 352
1; 358
0; 355
1; 359
0; 356
0; 354
1; 358
1; 360
1; 360
0; 355
1; 360
0; 355
1; 359
1; 358
0; 352
1; 357
0; 353
1; 360
0; 353
1; 359
0; 353
0; 352
1; 360
1; 359
1; 360
0; 353
0; 355
0; 353
1; 360
1; 359
0; 353
1; 358
0; 352
1; 358
1; 360
1; 359
0; 354
0; 355
1; 359
0; 356
1; 359
1; 361
0; 361
0; 365
1; 359
1; 360
0; 354
1; 361
0; 353
1; 359
1; 361
1; 359
0; 353
0; 354
1; 360
0; 354
1; 357
1; 358
0; 353
0; 353
0; 354
1; 360
0; 355
1; 359
0; 353
0; 349
1; 355
1; 355
1; 355
0; 353
1; 361
0; 367
1; 377
1; 358
0; 353
1; 358
0; 353
1; 357
1; 357
1; 357
0; 352
0; 352
1; 358
1; 360
1; 359
0; 352
1; 360
0; 354
1; 359
1; 359
0; 367
1; 372
0; 365
1; 371
1; 372
1; 372
0; 367
0; 366
1; 372
0; 365
1; 372
0; 366
0; 366
