ground truth; time
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
0; 306
1; 323
0; 306
1; 323
1; 323
1; 340
0; 306
2; 340
0; 306
2; 340
2; 340
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
4; 374
1; 323
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
1; 323
0; 306
1; 323
0; 306
1; 323
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
0; 306
0; 306
1; 323
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
2; 340
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
2; 340
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
1; 323
2; 340
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
3; 357
0; 306
2; 340
1; 323
0; 306
0; 306
0; 306
1; 323
1; 323
2; 340
2; 340
1; 323
2; 340
1; 323
1; 323
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
0; 306
1; 323
3; 357
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
1; 323
1; 323
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
2; 340
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
2; 340
1; 323
2; 340
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
2; 340
0; 306
1; 323
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
0; 306
3; 357
0; 306
1; 323
0; 306
1; 323
1; 323
1; 323
1; 323
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
2; 340
2; 340
0; 306
1; 323
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
1; 323
2; 340
0; 306
1; 323
1; 323
2; 340
1; 323
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
2; 340
1; 323
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
2; 340
0; 306
0; 306
1; 323
1; 323
1; 323
1; 323
0; 306
2; 340
3; 352
0; 306
0; 306
2; 340
2; 340
2; 340
2; 340
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
2; 340
0; 306
2; 340
0; 306
1; 323
2; 340
2; 340
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
2; 340
2; 340
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
1; 323
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
0; 306
2; 340
2; 340
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
1; 323
2; 340
2; 340
1; 323
1; 323
1; 323
1; 323
1; 323
2; 340
0; 306
1; 323
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
2; 340
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
1; 323
2; 340
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
3; 357
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
1; 323
1; 323
0; 306
0; 306
2; 340
1; 323
0; 306
0; 306
0; 306
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
1; 323
1; 323
0; 306
2; 340
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
2; 340
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
0; 306
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
0; 306
2; 340
0; 306
1; 323
1; 323
0; 306
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
2; 340
0; 316
2; 340
0; 306
3; 357
1; 323
1; 340
0; 306
0; 306
0; 306
2; 340
0; 306
1; 323
0; 306
1; 323
0; 306
2; 340
0; 306
2; 340
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
1; 323
2; 340
2; 340
1; 323
1; 323
0; 306
1; 323
1; 323
0; 306
1; 323
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
1; 323
1; 323
1; 323
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
2; 340
1; 323
0; 306
0; 306
0; 306
1; 323
2; 340
0; 306
1; 323
0; 306
1; 323
1; 323
0; 306
2; 340
1; 323
1; 323
1; 323
2; 340
1; 323
0; 306
0; 306
0; 306
3; 357
0; 306
1; 323
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
2; 340
1; 323
1; 323
1; 323
0; 306
0; 306
1; 323
0; 306
1; 323
0; 306
0; 306
1; 323
0; 306
1; 323
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
0; 306
0; 306
1; 323
3; 357
0; 306
0; 306
1; 323
0; 306
2; 340
0; 306
0; 306
0; 306
0; 306
0; 306
0; 306
1; 323
0; 306
1; 323
0; 306
2; 340
0; 306
0; 306
1; 323
1; 323
0; 306
2; 340
1; 323
2; 340
