ground truth; time
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
2; 765
0; 675
0; 675
1; 765
2; 765
1; 765
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
2; 765
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
1; 765
1; 765
0; 675
0; 675
2; 765
2; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
1; 765
2; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
3; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
1; 765
1; 765
0; 675
1; 765
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
2; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
32; 1170
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
2; 765
1; 765
2; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
2; 765
0; 675
0; 675
2; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
2; 765
1; 765
1; 765
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
2; 765
1; 765
0; 675
0; 675
3; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
2; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
1; 765
2; 765
0; 675
0; 675
1; 765
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
2; 765
0; 675
0; 675
0; 675
2; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
1; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
2; 765
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
1; 765
0; 675
1; 765
2; 765
1; 765
1; 765
1; 765
2; 765
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
2; 765
2; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
1; 765
0; 675
1; 765
0; 675
1; 765
0; 675
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
0; 675
1; 765
1; 765
0; 675
1; 765
0; 675
1; 765
0; 675
1; 765
1; 765
0; 675
1; 765
0; 675
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
2; 765
0; 675
0; 675
0; 675
0; 675
2; 765
0; 675
1; 765
0; 675
0; 675
0; 675
0; 675
0; 675
1; 765
1; 765
0; 675
0; 675
0; 675
0; 675
