ground truth; time
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
1; 675
1; 675
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
2; 675
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
2; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
1; 675
0; 630
1; 675
2; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
2; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
3; 675
0; 630
0; 630
1; 675
0; 630
0; 630
2; 675
0; 630
1; 675
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
2; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
2; 675
1; 675
0; 630
0; 630
1; 675
1; 675
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
3; 675
0; 630
2; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
2; 675
1; 675
2; 675
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
2; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
3; 675
2; 675
0; 630
1; 675
0; 630
1; 675
0; 630
1; 675
1; 675
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
2; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
2; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
1; 675
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
3; 675
0; 630
0; 630
0; 630
2; 675
0; 630
0; 630
0; 630
0; 630
3; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
2; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
1; 675
0; 630
2; 675
1; 675
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
1; 675
1; 675
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
1; 675
0; 630
0; 630
1; 675
0; 630
0; 630
0; 630
0; 630
0; 630
1; 675
0; 630
2; 675
0; 630
0; 630
