ground truth; time
5; 1665
6; 1665
7; 1665
8; 1665
9; 1665
10; 1665
11; 1665
12; 1665
13; 1710
14; 1710
15; 1710
16; 1710
17; 1665
18; 1665
19; 1665
20; 1665
21; 1710
22; 1710
23; 1710
24; 1710
25; 1710
26; 1710
27; 1710
28; 1710
29; 1710
30; 1665
31; 1710
32; 1665
33; 1710
34; 1710
35; 1710
36; 1710
37; 1665
38; 1710
39; 1710
40; 1710
41; 1710
42; 1710
43; 1710
44; 1665
45; 1710
46; 1710
47; 1710
48; 1710
49; 1710
50; 1710
51; 1710
52; 1710
53; 1710
54; 1710
55; 1710
56; 1710
57; 1710
58; 1710
59; 1710
60; 1710
61; 1710
62; 1710
63; 1710
64; 1710
65; 1710
66; 1710
67; 1710
68; 1710
69; 1710
70; 1710
71; 1710
72; 1710
73; 1710
74; 1710
75; 1710
76; 1710
77; 1710
78; 1710
79; 1710
80; 1710
81; 1710
82; 1710
83; 1710
84; 1710
85; 1710
86; 1710
87; 1710
88; 1710
89; 1710
90; 1710
91; 1710
92; 1710
93; 1710
94; 1710
95; 1710
96; 1710
97; 1710
98; 1710
99; 1710
100; 1710
101; 1710
102; 1710
103; 1710
104; 1710
105; 1710
106; 1710
107; 1710
108; 1710
109; 1710
110; 1710
111; 1710
112; 1710
113; 1710
114; 1710
115; 1710
116; 1710
117; 1710
118; 1710
119; 1710
120; 1710
121; 1710
122; 1710
123; 1710
124; 1710
125; 1710
126; 1710
127; 1710
128; 1710
129; 1710
130; 1710
131; 1710
132; 1710
133; 1710
134; 1710
135; 1710
136; 1710
137; 1710
138; 1710
139; 1710
140; 1710
141; 1710
142; 1710
143; 1710
144; 1710
145; 1710
146; 1710
147; 1710
148; 1710
149; 1710
150; 1710
151; 1710
152; 1710
153; 1710
154; 1710
155; 1710
156; 1710
157; 1710
158; 1710
159; 1710
160; 1710
161; 1710
162; 1710
163; 1710
164; 1710
165; 1710
166; 1710
167; 1710
168; 1710
169; 1710
170; 1710
171; 1710
172; 1755
173; 1755
174; 1710
175; 1710
176; 1710
177; 1710
178; 1710
179; 1710
180; 1710
181; 1710
182; 1710
183; 1710
184; 1710
185; 1710
186; 1710
187; 1710
188; 1710
189; 1710
190; 1710
191; 1710
192; 1710
193; 1710
194; 1710
195; 1710
196; 1710
197; 1710
198; 1710
199; 1710
200; 1710
201; 1755
202; 1710
203; 1710
204; 1710
205; 1710
206; 1710
207; 1710
208; 1710
209; 1710
210; 1710
211; 1710
212; 1710
213; 1710
214; 1710
215; 1710
216; 1755
217; 1710
218; 1710
219; 1755
220; 1710
221; 1710
222; 1755
223; 1710
224; 1710
225; 1710
226; 1710
227; 1710
228; 1710
229; 1710
230; 1710
231; 1710
232; 1710
233; 1710
234; 1710
235; 1710
236; 1710
237; 1710
238; 1710
239; 1710
240; 1710
241; 1710
242; 1710
243; 1710
244; 1710
245; 1710
246; 1755
247; 1710
248; 1710
249; 1710
250; 1710
251; 1710
252; 1710
253; 1755
254; 1710
255; 1710
256; 1710
257; 1710
258; 1710
259; 1710
260; 1710
261; 1710
262; 1710
263; 1710
264; 1710
265; 1710
266; 1710
267; 1710
268; 1710
269; 1710
270; 1710
271; 1755
272; 1710
273; 1710
274; 1710
275; 1710
276; 1710
277; 1710
278; 1710
279; 1710
280; 1710
281; 1710
282; 1710
283; 1755
284; 1755
285; 1710
286; 1710
287; 1710
288; 1710
289; 1755
290; 1710
291; 1755
292; 1710
293; 1710
294; 1710
295; 1710
296; 1710
297; 1710
298; 1710
299; 1755
300; 1710
301; 1755
302; 1710
303; 1755
304; 1710
305; 1710
306; 1755
307; 1755
308; 1710
309; 1755
