ground truth; time
5; 1575
6; 1575
7; 1575
8; 1530
9; 1575
10; 1575
11; 1575
12; 1665
13; 1575
14; 1575
15; 1620
16; 1575
17; 1575
18; 1575
19; 1575
20; 1620
21; 1575
22; 1620
23; 1575
24; 1620
25; 1575
26; 1575
27; 1575
28; 1620
29; 1575
30; 1575
31; 1575
32; 1575
33; 1575
34; 1620
35; 1575
36; 1575
37; 1575
38; 1575
39; 1575
40; 1575
41; 1575
42; 1575
43; 1575
44; 1575
45; 1575
46; 1575
47; 1575
48; 1575
49; 1575
50; 1575
51; 1575
52; 1575
53; 1575
54; 1575
55; 1575
56; 1575
57; 1575
58; 1575
59; 1620
60; 1575
61; 1575
62; 1575
63; 1575
64; 1575
65; 1575
66; 1575
67; 1575
68; 1575
69; 1575
70; 1575
71; 1575
72; 1575
73; 1575
74; 1575
75; 1620
76; 1575
77; 1575
78; 1575
79; 1575
80; 1575
81; 1575
82; 1575
83; 1575
84; 1620
85; 1575
86; 1575
87; 1575
88; 1575
89; 1575
90; 1575
91; 1575
92; 1620
93; 1620
94; 1620
95; 1620
96; 1575
97; 1575
98; 1620
99; 1620
100; 1575
101; 1620
102; 1575
103; 1620
104; 1575
105; 1575
106; 1575
107; 1575
108; 1575
109; 1575
110; 1575
111; 1575
112; 1575
113; 1575
114; 1620
115; 1575
116; 1620
117; 1575
118; 1575
119; 1575
120; 1575
121; 1575
122; 1575
123; 1575
124; 1575
125; 1575
126; 1575
127; 1575
128; 1620
129; 1620
130; 1575
131; 1575
132; 1575
133; 1575
134; 1575
135; 1575
136; 1575
137; 1575
138; 1620
139; 1575
140; 1575
141; 1575
142; 1575
143; 1575
144; 1575
145; 1575
146; 1575
147; 1575
148; 1620
149; 1575
150; 1575
151; 1575
152; 1575
153; 1575
154; 1575
155; 1620
156; 1620
157; 1620
158; 1620
159; 1575
160; 1575
161; 1575
162; 1575
163; 1575
164; 1575
165; 1575
166; 1620
167; 1575
168; 1620
169; 1575
170; 1575
171; 1575
172; 1575
173; 1620
174; 1575
175; 1620
176; 1575
177; 1575
178; 1575
179; 1575
180; 1575
181; 1620
182; 1620
183; 1620
184; 1575
185; 1620
186; 1575
187; 1575
188; 1575
189; 1575
190; 1575
191; 1575
192; 1575
193; 1575
194; 1620
195; 1575
196; 1575
197; 1665
198; 1575
199; 1575
200; 1620
201; 1620
202; 1575
203; 1575
204; 1575
205; 1620
206; 1575
207; 1575
208; 1575
209; 1620
210; 1575
211; 1575
212; 1575
213; 1575
