ground truth; time
0; 720
0; 765
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 765
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 765
0; 720
1; 765
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 765
0; 720
1; 765
0; 720
1; 765
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 765
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
0; 720
1; 720
